2022,10,302
2024,7,116
2020,6,1466
2021,8,621
2024,12,132
2021,6,727
2021,5,812
2023,8,232
2023,9,211
2021,10,550
2020,11,966
2025,5,119
2020,3,719
2024,3,183
2023,7,170
2025,10,83
2020,9,1031
2024,5,140
2022,2,570
2022,7,359
2021,11,509
2023,6,199
2026,2,68
2021,9,609
2025,9,96
2025,7,74
2024,10,127
2024,9,128
2022,11,287
2022,3,540
2024,2,134
2020,12,848
2023,3,270
2021,12,775
2025,8,74
2021,7,819
2026,3,78
2023,2,246
2023,11,173
2020,4,1470
2025,3,113
2023,4,158
2023,5,188
2021,3,1105
2025,12,71
2021,2,831
2024,1,138
2024,11,138
2025,4,136
2020,8,1004
2022,1,673
2023,10,184
2024,6,130
2025,11,86
2022,5,486
2021,1,867
2025,1,110
2020,7,1215
2020,2,282
2020,10,889
2022,6,403
2026,1,70
2022,9,343
2023,12,155
2024,4,133
2020,5,1965
2026,4,51
2024,8,111
2025,2,104
2022,4,393
2021,4,858
2022,12,311
2023,1,276
2022,8,322
2025,6,78
2017,10,1
2018,9,1
2018,6,1
2018,7,1
2017,5,1
2018,3,1
2017,2,1
2018,1,1
2016,12,1
2020,1,35
2018,10,1
2017,7,1
2018,12,1
2017,11,1
